Gene	sgRNAs included	KBM7 CS	KBM7 adjusted p-value	K562 CS	K562 adjusted p-value	Jiyoye CS	Jiyoye adjusted p-value	Raji CS	Raji adjusted p-value
ADAMTS5	10	-0.180	0.783269182	0.481	0.033855167	0.397	0.249261502	0.050	0.719593139
ADAMTS6	9	-0.174	0.48344812	0.178	0.44888647	-0.001	0.965400758	0.080	0.898063221
ADAMTS7	9	-0.781	0.407701161	-0.770	0.917661392	-0.490	0.972449344	-0.055	0.724788283
ADAMTS8	10	-0.302	0.990227141	-0.907	0.897469311	-0.678	0.596324886	-0.350	0.822829631
ADAMTS9	10	-0.005	0.834865482	0.265	0.363024219	0.218	0.884410888	0.094	0.959280691
ADAMTSL1	8	-0.094	0.971070068	0.115	0.365799842	-0.032	0.995736133	-0.066	0.928210825
ADAMTSL2	9	-0.038	0.818100334	-1.004	0.999690568	0.159	0.727944054	-0.419	0.123465699
ADAMTSL3	9	-0.464	0.893533532	0.005	0.673056796	0.160	0.71375901	0.135	0.926029057
ADAMTSL4	9	-0.631	0.124487016	-1.457	0.051316302	-0.573	0.273761686	-1.223	0.044623943
ADAMTSL5	9	-0.597	0.18622456	-1.647	0.124360581	-0.287	0.858713078	-0.731	0.696671093
ADAP1	10	0.124	0.225368776	-0.235	0.612304064	0.134	0.889571603	0.065	0.735296542
ADAP2	9	0.189	0.523324803	0.029	0.734050329	-0.140	0.849058973	0.274	0.689796626
ADAR	10	-0.708	0.225104796	0.016	0.6085233	-0.363	0.478971232	-0.211	0.638518343
ADARB1	8	-0.086	0.681716437	-0.497	0.998952534	-0.378	0.950673615	-0.299	0.998844103
ADARB2	9	-0.053	0.99484639	0.274	0.446082999	0.359	0.299929427	0.289	0.563214259
ADAT1	10	0.195	0.192085132	0.419	0.177995402	-0.056	0.757344753	0.284	0.40427034
ADAT2	10	-1.295	0.099175986	-0.502	0.650156798	-0.218	0.871232204	-0.318	0.311369162
ADAT3	10	-1.254	0.002268877	-1.213	0.043856142	-0.684	0.06827338	-0.571	0.137639761
ADC	9	-0.360	0.436413085	-0.673	0.807181603	-0.392	0.748959334	0.107	0.762403586
ADCK1	10	0.266	0.18109341	0.207	0.466650502	0.480	0.290620658	-0.136	0.687652039
ADCK2	7	-0.072	0.961483258	-0.474	0.934650347	-0.351	0.870141577	-0.288	0.735846711
ADCK3	10	0.115	0.666745336	-0.073	0.774410612	-0.424	0.538005848	0.143	0.722025151
ADCK4	9	-0.247	0.943970363	-1.094	0.304663704	-0.620	0.117793229	-0.830	0.164618358
ADCK5	10	-0.512	0.103058085	-0.412	0.52638206	-0.049	0.919432647	-0.074	0.942904466
ADCY1	9	-0.300	0.919580731	-0.804	0.580650674	-0.427	0.86666987	-0.810	0.411357139
ADCY10	8	-0.037	0.905530332	-0.548	0.657054994	-0.167	0.989473246	-0.633	0.539095685
ADCY2	9	0.309	0.083152652	0.319	0.066379425	0.490	0.079583246	0.110	0.487957957
ADCY3	8	-0.217	0.845048698	-0.760	0.180938941	-0.128	0.928726312	-0.504	0.993975037
ADCY4	10	-0.404	0.274423693	-1.329	0.094613139	-0.218	0.779847414	-0.360	0.670888852
ADCY5	8	-0.819	0.664223449	-0.970	0.273593655	-0.150	0.947341276	-0.553	0.827818991
ADCY6	8	-0.247	0.969960759	-1.023	0.327213274	-0.414	0.998786865	-0.225	0.579033209
ADCY7	6	0.255	0.431136678	0.049	0.379914487	-0.553	0.472820153	-0.367	0.384502453
ADCY8	7	0.052	0.667257308	0.012	0.537499316	-0.170	0.964424706	0.243	0.674750642
ADCY9	9	-0.020	0.924421858	-0.306	0.645862067	-0.017	0.854349628	-0.143	0.966915011
ADCYAP1	10	0.268	0.039149414	0.277	0.19774885	0.268	0.332819442	0.433	0.159955719
ADCYAP1R1	10	0.095	0.339678498	-0.032	0.580967532	0.334	0.640811485	0.239	0.226310562
ADD1	10	-0.581	0.853689304	-0.488	0.424290911	-0.692	0.988668183	-0.309	0.990603693
ADD2	7	-0.663	0.174807838	-0.851	0.279817753	-0.194	0.750532436	-0.394	0.760098642
ADD3	10	0.082	0.724968871	0.100	0.683586446	0.066	0.683523317	0.321	0.512242826
ADH1A	10	0.118	0.471950065	0.329	0.026847217	0.258	0.398246855	0.260	0.31111057
ADH1B	9	-0.319	0.833605663	0.115	0.306861465	-0.236	0.963835017	-0.109	0.795526305
ADH4	8	0.002	0.557504703	0.349	0.185973939	0.045	0.822404812	0.587	0.02861936
ADH5	10	0.201	0.137694574	0.695	0.021849248	0.139	0.676267467	0.338	0.205894455
ADH6	10	0.005	0.696019075	0.142	0.305845607	-0.063	0.952402139	0.162	0.130502016
ADH7	10	0.208	0.454695934	-0.089	0.403127934	-0.130	0.841768186	-0.026	0.852449162
ADHFE1	10	-0.391	0.430764344	-0.124	0.310355597	0.288	0.375945259	-0.131	0.676223948
ADI1	10	0.179	0.508111907	-0.594	0.999690568	0.277	0.405989715	0.218	0.484769455
ADIG	10	0.023	0.557291669	0.078	0.668530279	-0.049	0.952853389	-0.015	0.772873322
ADIPOQ	9	0.297	0.168955726	0.011	0.52672725	0.254	0.621604806	0.450	0.166825724
ADIPOR1	9	0.031	0.729181486	0.092	0.40474791	0.160	0.700433288	0.132	0.386130414
ADIPOR2	9	-0.039	0.66107459	-0.516	0.375554872	0.058	0.996383755	0.100	0.680269108
ADIRF	10	-0.105	0.878307977	-0.415	0.957831586	-0.354	0.550995418	-0.190	0.614366111
ADK	9	-0.365	0.481084702	-0.556	0.517202599	-0.279	0.828021504	0.265	0.464918979
ADM	8	0.360	0.333334733	0.416	0.084440664	0.327	0.388627792	0.421	0.024185714
ADM2	8	-0.219	0.775218302	-0.008	0.364182454	0.445	0.141756513	0.183	0.703135972
ADM5	9	-0.008	0.508111907	-0.292	0.95931144	0.152	0.854340314	-0.278	0.902025838
ADNP	8	0.187	0.227344865	-0.525	0.299942987	0.538	0.14029663	0.150	0.896748236
ADNP2	9	-0.038	0.970363671	-0.167	0.964544111	0.248	0.59283859	0.149	0.775846098
ADO	9	-0.895	0.216920273	-1.495	0.370454527	-0.744	0.569634006	-0.468	0.394583795
ADORA1	8	0.053	0.714774996	-0.418	0.642397394	0.048	0.952265507	-0.287	0.973641539
ADORA2A	8	0.021	0.851258803	0.070	0.920644472	-0.104	0.83419635	0.001	0.628948287
ADORA2B	10	0.283	0.360828229	0.280	0.406399423	0.348	0.385226082	0.034	0.546996429
ADORA3	10	-0.052	0.765979658	-0.555	0.13038606	-0.187	0.907058293	-0.015	0.995517041
ADPGK	10	-0.005	0.447206026	-0.006	0.608064445	0.283	0.231540087	0.367	0.341584046
ADPRH	10	-0.184	0.940064867	-0.287	0.937327194	0.012	0.876094695	-0.089	0.854367827
ADPRHL1	10	-0.021	0.754396583	0.141	0.330176596	0.166	0.746132527	0.154	0.469260836
ADPRHL2	9	-0.136	0.823336657	-0.765	0.392209644	-0.453	0.77272057	0.240	0.274633305
ADPRM	10	0.189	0.231724718	0.428	0.160171378	0.157	0.626559052	0.359	0.386844059
ADRA1A	9	-0.164	0.939584838	0.205	0.744884024	0.043	0.72783146	0.015	0.55044756
ADRA1B	10	-0.290	0.916332828	-0.138	0.811167901	-0.529	0.840623719	-0.069	0.858023222
ADRA1D	7	-0.184	0.995794044	-1.110	0.365799842	-0.228	0.970009983	0.016	0.827818991
ADRA2A	8	0.127	0.549632774	-0.174	0.72984256	0.041	0.842463847	-0.097	0.63834329
ADRA2B	10	-0.371	0.947205546	-0.920	0.628295753	-0.548	0.940575768	0.002	0.985836702
ADRA2C	9	0.104	0.713994583	0.394	0.311561449	0.275	0.777797432	0.173	0.28494097
ADRB1	8	0.123	0.688977113	-0.392	0.936912807	-0.180	0.753322567	-0.226	0.993065483
ADRB2	10	0.165	0.350082871	0.202	0.537625091	-0.019	0.932339704	-0.013	0.86813568
ADRB3	9	-0.512	0.388887335	-0.257	0.991263389	-0.067	0.956797989	0.005	0.89276927
ADRBK1	9	-0.282	0.50983369	-0.761	0.133418487	-0.660	0.379049889	-0.540	0.65937669
ADRBK2	9	0.017	0.932385567	-0.622	0.807181603	-0.603	0.804583014	-0.136	0.974043552
ADRM1	8	-1.340	0.016844149	-0.896	0.844220608	-1.117	0.13518368	-0.843	0.343578139
ADSL	10	-2.441	0.004889986	-3.300	0.00209771	-2.175	2.53E-05	-1.625	0.001051254
ADSS	10	-2.213	0.004878048	-2.242	0.011228091	-3.490	5.41E-05	-1.895	0.000282674
ADSSL1	9	0.020	0.578953192	0.436	0.257070116	0.040	0.991270796	-0.075	0.673476714
ADTRP	9	0.320	0.251138042	0.501	0.142569811	0.461	0.453694121	0.646	0.011755145
AEBP1	10	-0.848	0.123092309	-1.772	0.698818695	-0.481	0.342642178	-0.503	0.44657958
AEBP2	10	-0.287	0.431838461	0.568	0.029026568	-0.246	0.670057491	-0.099	0.83956654
AEN	9	-0.320	0.566902834	0.058	0.460581482	0.312	0.295216078	0.096	0.775427483
AES	10	-0.106	0.93825328	-0.224	0.664391865	-0.088	0.997197515	-0.066	0.807443116
AFAP1	10	-0.162	0.924325593	-0.985	0.8145249	-0.086	0.945079317	-0.636	0.96536978
AFAP1L1	9	-0.403	0.45519643	-0.184	0.850630639	-0.001	0.975033389	-0.024	0.910549529
AFAP1L2	10	-0.369	0.606234698	-0.402	0.871216156	-0.255	0.68938136	-0.407	0.952097439
AFF1	8	-0.706	0.546749083	-0.661	0.711070645	-0.979	0.82075003	-0.932	0.327465527
AFF2	9	-0.671	0.881507424	-0.768	0.9458289	-0.648	0.9556217	-0.611	0.94102669
AFF3	9	-0.056	0.791073049	-0.469	0.52008025	0.128	0.893877506	-0.520	0.139150689
AFF4	10	-0.123	0.762384228	-0.523	0.495836014	-0.002	0.904305863	-0.182	0.926677836
AFG3L2	8	-2.001	0.002037705	-2.459	0.041882943	-1.942	0.014433129	-2.110	0.000176329
AFM	10	-0.025	0.492878955	0.517	0.036962298	0.224	0.671132692	0.330	0.081587341
AFMID	8	-0.246	0.79730994	-0.439	0.874587906	-0.423	0.751026444	-0.779	0.260344229
AFP	10	0.184	0.157424385	0.205	0.226201897	0.183	0.337480873	0.337	0.251826164
AFTPH	10	-0.248	0.855629568	-0.130	0.920644472	0.138	0.70047138	-0.286	0.656554995
AGA	10	0.072	0.718055128	0.475	0.014949667	0.046	0.839764949	0.086	0.883304412
AGAP1	10	0.414	0.048964267	0.242	0.580967532	0.268	0.288036501	0.356	0.279023668
AGAP2	8	-0.389	0.986746581	-1.408	0.273593655	-0.565	0.460068299	-0.767	0.651463517
AGAP3	10	0.314	0.150697638	-0.163	0.582313459	-0.035	0.875028338	-0.436	0.498159498
AGAP4	9	-0.806	0.78553601	-1.537	0.518351378	-0.457	0.952014352	-0.107	0.703135972
AGAP5	10	-0.667	0.72729219	-1.868	0.057654364	-1.089	0.36409712	-0.799	0.4097004
AGAP6	10	-1.067	0.12269437	-1.760	0.114198764	-1.530	0.0225753	-0.887	0.064020203
AGAP7	9	-1.523	0.133891255	-2.529	0.090559771	-1.378	0.002985053	-0.950	0.478627714
AGAP8	9	-0.750	0.756190519	-1.439	0.396318353	-1.067	0.788115063	-0.604	0.276280728
AGAP9	8	-1.541	0.206266097	-2.538	0.042052786	-2.335	0.01711373	-0.905	0.597664942
AGBL1	10	-0.657	0.724968871	-0.369	0.82781381	-0.325	0.954025222	-0.041	0.399063152
AGBL2	10	-0.255	0.300150431	-0.449	0.221615012	-0.211	0.920308823	0.159	0.717802769
AGBL3	9	0.362	0.401651955	-0.018	0.894192287	0.256	0.625749576	0.282	0.501156342
AGBL4	8	-0.241	0.978724994	-0.410	0.906390995	-0.215	0.952853389	-0.359	0.572340396
AGBL5	9	-1.022	0.493953665	-1.453	0.684385991	-0.458	0.819742917	-0.517	0.8869101
AGER	10	-0.470	0.948172413	-0.564	0.994967661	-0.278	0.991270796	0.039	0.753098826
AGFG1	10	0.090	0.474635261	0.413	0.014375406	0.261	0.417676722	0.295	0.089946739
AGFG2	9	-0.282	0.876453901	-0.857	0.557118601	0.046	0.723567727	-0.507	0.625870577
AGGF1	10	-0.374	0.799825753	-0.789	0.917314435	-0.368	0.926729146	-0.268	0.907730562
AGK	10	0.149	0.306846641	0.136	0.531932674	-0.060	0.953208299	0.354	0.211214786
AGL	10	-0.069	0.533436079	0.159	0.253208754	0.243	0.276688351	0.359	0.235046487
AGMAT	10	-0.259	0.365146096	-0.955	0.035371498	-0.016	0.971000988	-0.490	0.4171331
AGMO	9	0.205	0.274104072	0.263	0.393672809	0.362	0.51394474	0.320	0.440540809
AGO1	9	0.017	0.919459883	-0.268	0.70134171	-0.212	0.298763513	0.209	0.775846098
AGO2	9	-2.292	8.29E-05	-0.947	0.139594402	-1.711	0.00109906	-0.499	0.539532526
AGO3	10	0.269	0.384315572	-0.636	0.509001196	-0.115	0.770652156	0.165	0.701946154
AGO4	10	-0.092	0.90605269	-0.322	0.650685617	0.100	0.92058416	-0.011	0.851551763
AGPAT1	10	-0.464	0.860971311	-2.341	0.002032886	-0.771	0.005349839	-1.035	0.006153651
AGPAT2	8	-0.265	0.839606294	-0.944	0.687971444	-0.179	0.956506921	-0.500	0.75726486
AGPAT3	9	0.250	0.241781079	-0.206	0.949301382	-0.051	0.939103189	-0.067	0.995557307
AGPAT4	10	0.147	0.431508683	0.145	0.686424872	0.219	0.204869605	0.269	0.564277141
AGPAT5	9	-0.673	0.341011963	-1.821	0.009286705	-0.725	0.608974428	-0.296	0.838843223
AGPAT6	9	-0.285	0.515897374	0.226	0.402514701	0.293	0.178741772	-0.402	0.227333652
AGPAT9	10	-0.106	0.920676754	0.405	0.098670893	0.373	0.545165488	0.207	0.78071427
AGPS	8	-0.694	0.026622531	-0.714	0.303083919	0.093	0.704682806	0.117	0.623433161
AGR2	9	0.164	0.220911837	-0.046	0.450675916	0.105	0.931562388	0.016	0.98324671
AGR3	10	0.255	0.245258678	0.357	0.155204488	0.253	0.676668511	0.101	0.302245252
AGRN	8	-0.216	0.690839548	-0.457	0.389796488	-0.157	0.937369034	-0.070	0.598553654
AGRP	9	-0.395	0.907082733	-0.589	0.967120031	-0.104	0.746982367	0.292	0.223589302
AGT	9	-0.772	0.962897395	-1.226	0.56464319	-0.341	0.869695868	-0.633	0.590510087
AGTPBP1	9	0.124	0.564620226	0.325	0.160759916	-0.399	0.025739213	0.220	0.241897889
AGTR1	10	0.096	0.317661571	0.562	0.015852412	0.116	0.504531501	0.539	0.060857744
AGTR2	9	0.099	0.68254489	0.422	0.071958686	0.215	0.737437617	0.065	0.692227989
AGTRAP	9	-0.011	0.83421902	-0.623	0.72835932	-0.159	0.7623712	-0.089	0.999420829
AGXT	10	-0.795	0.276050114	-1.295	0.792657526	-0.904	0.582519198	-0.389	0.565714142
AGXT2	10	0.456	0.096343311	-0.031	0.797754093	0.273	0.563223243	0.357	0.245564172
AHCTF1	10	-1.481	0.001019291	-1.822	0.052303524	-1.481	0.025602158	-1.602	0.006796029
AHCY	10	-2.127	0.001061561	-2.970	0.000135745	-2.191	0.000170248	-0.980	0.031048428
AHCYL1	10	-0.789	0.062905796	-4.667	2.69E-05	-0.503	0.060540265	-0.694	0.015958063
AHCYL2	9	-0.011	0.709284181	-0.295	0.456763516	0.126	0.778981822	-0.023	0.995517041
AHDC1	9	0.107	0.317428195	-0.377	0.56464319	0.109	0.57939517	-0.496	0.299819132
AHI1	10	-0.079	0.84258423	0.206	0.41716822	0.213	0.187089063	-0.035	0.953769726
AHNAK	9	0.081	0.745029299	-0.541	0.068276186	-0.018	0.959520315	0.208	0.586785353
AHNAK2	10	-0.608	0.456821243	-0.929	0.707077366	-0.525	0.801543653	-0.429	0.85604425
AHR	10	-0.482	0.440073509	0.282	0.105593162	0.319	0.111524075	0.012	0.705759066
AHRR	10	0.187	0.525751455	-0.389	0.981200934	0.109	0.926428389	-0.043	0.812954065
AHSA1	10	-0.147	0.982869709	-0.135	0.841232208	0.388	0.057561514	-0.382	0.214235142
AHSA2	9	-0.064	0.5808965	-0.463	0.293681703	-0.204	0.965494601	-0.602	0.605001779
AHSG	10	0.436	0.07660653	0.402	0.110324161	0.275	0.416426159	0.192	0.356404274
AHSP	10	0.102	0.866331957	0.425	0.324445562	0.042	0.974430585	-0.022	0.899840962
AICDA	10	-0.077	0.934460515	-0.461	0.552536384	0.089	0.96608801	-0.262	0.823123048
AIDA	9	0.081	0.841328889	-0.418	0.525583673	0.076	0.907262581	0.047	0.904310026
AIF1	10	0.111	0.338681183	-0.187	0.863506461	0.149	0.897696761	0.295	0.378307564
AIF1L	10	-0.091	0.960541484	-2.467	0.000299041	0.044	0.925462401	0.094	0.748209734
AIFM1	10	-1.273	0.000786277	0.389	0.0724863	-0.954	0.000730218	-0.310	0.356777954
AIFM2	9	-0.235	0.970689525	-0.788	0.288599274	0.175	0.820277215	-0.015	0.907730562
AIFM3	9	-0.491	0.419299296	-2.719	0.000241633	-0.762	0.772589899	-0.383	0.581334927
AIG1	9	0.346	0.108800998	0.369	0.060301123	-0.182	0.745260398	0.105	0.851386105
AIM1	10	-0.167	0.849038803	-0.635	0.762675059	0.014	0.686023545	0.348	0.567006567
AIM2	10	-0.170	0.956763312	0.149	0.398756107	0.127	0.739932002	0.036	0.649676003
AIMP1	9	0.033	0.853674027	0.218	0.383071042	0.234	0.698162327	0.153	0.762006458
AIMP2	10	0.413	0.084266059	0.176	0.184180995	0.022	0.85695193	-0.110	0.946041534
AIP	10	-0.698	0.077881507	0.040	0.545399891	-0.328	0.745260398	0.069	0.929748495
AIPL1	10	-0.110	0.678673972	-0.616	0.628038777	-0.062	0.905073549	-0.175	0.892550979
AIRE	8	0.021	0.724947395	-0.189	0.87589315	0.124	0.790168168	0.056	0.90250282
AJAP1	9	-0.054	0.921634569	-0.131	0.781313594	0.196	0.934652208	0.066	0.72391558
AJUBA	9	-0.552	0.562390051	-0.425	0.735679385	0.011	0.972695133	-0.259	0.398312257
AK1	9	-0.249	0.318431972	-0.264	0.872975273	0.158	0.718738918	0.196	0.218379835
AK2	10	-1.856	0.011063053	-0.409	0.942575754	-2.109	0.000330959	-1.011	0.03089867
AK3	9	0.230	0.169045453	0.346	0.05849224	0.244	0.505827088	0.064	0.850825378
AK4	10	-0.409	0.851000145	-0.871	0.338993688	-0.245	0.91626069	-0.595	0.348070694
AK5	10	0.217	0.270106383	-0.197	0.919766426	0.463	0.205560674	0.017	0.899840962
AK6	10	-1.319	0.001051184	-1.485	0.017608217	-0.759	0.055076426	-0.674	0.061588469
AK7	10	-0.046	0.924778152	0.369	0.206797253	-0.033	0.994741929	-0.017	0.755063811
AK8	9	-0.137	0.941457158	-0.152	0.551347908	-0.363	0.783093477	-0.060	0.833027139
AK9	10	-0.079	0.881372096	0.112	0.457895342	-0.332	0.371210915	0.121	0.736216084
AKAP1	8	-0.728	0.913550559	-1.614	0.301509867	-0.810	0.752120344	-0.397	0.388128175
AKAP10	10	-0.500	0.164141629	-0.202	0.63400833	0.070	0.772146999	-0.721	0.135136021
AKAP11	10	0.190	0.531814223	0.236	0.465176266	0.044	0.452486643	0.079	0.766100138
AKAP12	10	-0.630	0.713866898	-0.602	0.847279644	-0.152	0.970758399	-0.573	0.810302669
AKAP13	9	-0.646	0.498959616	-0.086	0.547256099	-0.167	0.885211659	0.143	0.619129417
AKAP14	10	0.201	0.273395672	0.290	0.295020967	0.003	0.923133918	0.147	0.240258833
AKAP17A	9	-0.761	0.498959616	-1.016	0.938184618	-1.021	0.785430997	-0.544	0.656381748
AKAP2	8	0.082	0.337304786	-0.062	0.336346313	-0.016	0.72783146	-0.027	0.84403267
AKAP3	9	-0.020	0.773983211	0.459	0.035381464	0.351	0.344369862	-0.376	0.920859207
AKAP4	10	0.458	0.087806025	0.488	0.043793179	0.173	0.533714814	0.355	0.078992099
AKAP5	9	-0.074	0.797173771	0.039	0.929755399	0.108	0.917430647	0.304	0.482709048
AKAP6	10	-0.589	0.733507574	-1.045	0.905245563	-0.683	0.791153727	-0.460	0.202632339
AKAP7	10	0.220	0.138126353	0.255	0.484225975	0.306	0.272193991	-0.060	0.851551763
AKAP8	10	-0.259	0.698099158	-0.312	0.585760891	0.011	0.833642685	-0.268	0.655336753
AKAP8L	9	-0.095	0.745029299	-0.827	0.531752193	-0.186	0.635014791	-0.417	0.492263296
AKAP9	10	-0.083	0.937152264	-0.114	0.795374167	0.046	0.862495716	-0.470	0.411734949
AKIP1	10	-0.589	0.961823302	-0.628	0.744733652	-0.163	0.915357206	-0.391	0.826320612
AKIRIN1	9	-0.384	0.563820475	0.309	0.402911315	-0.149	0.83986581	-0.031	0.773134272
AKIRIN2	10	-1.852	0.00099279	-0.593	0.658391981	-1.088	0.045353105	-1.242	0.015785286
AKNA	7	-0.449	0.270656747	-0.243	0.941388354	-0.402	0.322515153	-0.491	0.772873322
AKNAD1	10	-0.658	0.268703108	-1.219	0.035012635	-0.661	0.671985826	-0.779	0.388999782
AKR1A1	9	-0.851	0.199388429	-1.107	0.464237069	-0.160	0.772362915	-0.233	0.840771801
AKR1B1	9	-0.095	0.617554364	-0.420	0.945533986	0.046	0.688223717	-0.219	0.860295717
AKR1B10	9	0.351	0.061100528	0.219	0.480838555	0.311	0.24491915	0.325	0.181746452
AKR1B15	10	0.223	0.161960774	0.160	0.884451834	-0.295	0.995578896	0.019	0.95295518
AKR1C1	9	-0.145	0.987941245	-0.225	0.751631028	-0.069	0.874747212	-0.222	0.521067064
AKR1C2	10	-0.184	0.574956858	-0.242	0.913790696	-0.101	0.931860363	0.360	0.268770975
AKR1C3	10	0.001	0.483243665	0.075	0.653159593	0.059	0.861669991	0.202	0.247764854
AKR1C4	10	0.091	0.582719335	0.494	0.062733648	0.023	0.941531986	0.178	0.311867839
AKR1D1	10	0.107	0.350242816	-0.241	0.750465372	0.280	0.292985677	0.107	0.711332715
AKR1E2	9	0.202	0.571846646	-0.046	0.866318354	0.217	0.827618687	0.032	0.963431916
AKR7A2	10	0.484	0.038876547	0.023	0.704689236	0.213	0.676267467	-0.061	0.94931523
AKR7A3	10	-0.112	0.934460515	-0.336	0.781983018	0.145	0.769374576	0.009	0.837640194
AKT1	9	-0.267	0.505997303	-0.486	0.994967661	-0.498	0.190357088	-0.502	0.469560573
AKT1S1	9	-0.300	0.999815322	-1.709	0.067190249	-0.348	0.872371893	-0.783	0.612401925
AKT2	9	-0.087	0.789516163	-0.629	0.270343026	-1.044	0.065246263	-1.148	0.021849415
AKT3	10	0.304	0.006412183	-0.066	0.945641698	0.241	0.589060296	0.419	0.188777937
AKTIP	8	-0.079	0.897823124	0.438	0.446124455	0.475	0.082674749	0.119	0.806633
ALAD	8	-1.457	0.000395279	-0.870	0.33242314	-0.568	0.179279513	-1.024	0.006153651
ALAS1	8	-1.426	0.004911192	-0.459	0.509393652	-0.535	0.618546002	-1.023	0.056356005
ALAS2	10	-0.134	0.977503362	0.198	0.392209644	0.306	0.539563907	0.003	0.800737078
ALB	10	0.159	0.250231345	0.217	0.318976534	0.238	0.328385475	0.424	0.041850978
ALCAM	10	-0.024	0.900111843	0.011	0.634284902	0.005	0.972664429	0.136	0.758410624
ALDH16A1	9	-0.023	0.976687172	-0.164	0.841538706	0.098	0.619309251	-0.006	0.980167254
ALDH18A1	10	-2.493	3.40E-05	-1.807	0.000211641	-0.244	0.837389996	-1.580	6.98E-05
ALDH1A1	10	0.138	0.334842716	0.161	0.579033512	0.055	0.613038097	0.072	0.448302107
ALDH1A2	10	-0.003	0.454750736	-0.043	0.533513906	0.309	0.133855415	0.033	0.887092484
ALDH1A3	10	0.175	0.413675321	-0.153	0.821784684	0.224	0.365277612	-0.042	0.604268537
ALDH1B1	10	-0.164	0.397983787	-1.120	0.056421343	-0.074	0.863060649	-0.365	0.7325033
ALDH1L1	9	0.097	0.8208059	-0.519	0.749800404	0.311	0.509519752	-0.008	0.677894991
ALDH1L2	9	-0.070	0.753584518	-1.331	0.275609082	-0.021	0.701210979	-0.171	0.582149921
ALDH2	10	-0.157	0.778845754	-0.495	0.303782467	0.027	0.662667099	0.407	0.307057112
ALDH3A1	10	0.029	0.808369852	-0.139	0.926762361	0.137	0.372269937	-0.152	0.827818991
ALDH3A2	10	0.327	0.034868861	0.005	0.640563429	0.323	0.610344704	0.413	0.206127634
ALDH3B2	10	-0.016	0.928373358	-0.529	0.363377766	0.177	0.618701059	-0.014	0.783876268
ALDH4A1	9	0.303	0.242788847	-0.350	0.773992281	-0.159	0.904596493	-0.297	0.274951635
ALDH5A1	8	0.418	0.040688222	0.025	0.66309736	0.239	0.746982367	0.517	0.014737452
ALDH6A1	10	-0.359	0.700260211	-0.567	0.575888547	-0.150	0.868188907	-0.441	0.71719221
ALDH7A1	10	0.090	0.619489169	0.164	0.243780527	0.399	0.284586841	0.052	0.697468205
ALDH8A1	9	-0.048	0.985318072	-0.420	0.861390631	0.066	0.758217346	-0.367	0.91712323
ALDH9A1	9	0.098	0.272572277	-0.072	0.721189036	-0.078	0.895254253	-0.086	0.997842998
ALDOA	10	-3.371	1.86E-05	-2.062	0.006485309	-3.471	9.20E-05	-0.560	0.202026056
ALDOB	9	0.218	0.37016352	0.030	0.46675717	0.257	0.508074975	0.144	0.789856636
ALDOC	8	-0.175	0.899963139	0.250	0.244497696	-0.249	0.619579946	-0.407	0.323863267
ALG1	8	-2.026	0.071446323	-1.098	0.239153144	-2.284	0.006707373	-1.026	0.018199437
ALG10	9	-0.012	0.945761852	0.047	0.600252844	0.114	0.790250398	0.369	0.088374697
ALG10B	10	-0.332	0.400118299	-0.261	0.27869463	-0.624	0.421146673	-0.314	0.905245428
ALG11	10	-0.970	0.00136787	-1.718	0.003810276	-1.139	0.047005866	-1.258	0.007543834
ALG12	9	-0.261	0.519909987	-0.095	0.766158122	-0.965	0.129724343	0.156	0.507451305
ALG13	10	-0.574	0.836192782	-0.446	0.499323175	-0.303	0.929874724	-0.373	0.737344122
ALG14	9	-1.612	0.001843299	-1.440	0.071350908	-1.579	0.000835403	-0.590	0.176133396
ALG1L	9	-0.217	0.864336228	0.145	0.589774323	-0.056	0.96093376	0.137	0.776971381
ALG2	9	-2.426	0.000109365	-2.533	7.43E-05	-2.847	3.61E-05	-1.351	0.034724045
ALG3	9	-0.311	0.367378755	-0.247	0.987080382	-0.360	0.725679672	-0.163	0.789856636
ALG5	10	-0.250	0.454750736	0.485	0.01025	-0.984	0.008645419	-0.383	0.39816737
ALG6	10	-0.254	0.690552394	0.214	0.173926178	-0.785	0.017497681	0.051	0.661187804
ALG8	10	-0.510	0.467998467	-0.470	0.56329078	-0.496	0.643558893	-0.106	0.99575135
ALG9	9	-0.183	0.925866648	-0.380	0.390029527	-1.619	6.55E-05	-0.223	0.742491407
ALK	9	-0.096	0.743778416	-0.603	0.553661032	0.161	0.782230541	-0.440	0.581334927
ALKBH1	9	-0.273	0.852049756	-0.072	0.818243052	-0.438	0.055076426	-0.391	0.569978702
ALKBH2	10	0.073	0.574330205	-0.029	0.489519955	-0.133	0.875272196	0.063	0.974280403
ALKBH3	8	0.023	0.881411572	-0.075	0.845652338	0.137	0.700824824	0.284	0.642400589
ALKBH4	10	-0.083	0.793163997	-0.139	0.682918606	0.357	0.074289197	0.264	0.434398348
